id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
69572,6000,03/14/2011 00:00:00,Roman,1390,Roman,34.93809275,-9.85632177,none,0,LakeNyasa,Mnyusi B,Iringa,11,5,Ludewa,Mundindi,109,True,GeoData Consultants Ltd,VWC,Roman,False,1999,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
48451,500,07/04/2011 00:00:00,Unicef,1703,DWE,34.64243884,-9.10618458,Kwa John Mtenzi,0,Rufiji,Kidudumo,Iringa,11,4,Njombe,Mdandu,35,True,GeoData Consultants Ltd,WUA,wanging'ombe water supply s,True,1978,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Dry,Dry,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
18274,500,02/22/2011 00:00:00,Danida,1763,Danid,34.50896732,-9.8944125,none,0,LakeNyasa,Manyanya,Iringa,11,5,Ludewa,Mawengi,1,True,GeoData Consultants Ltd,VWC,Makanj,True,1992,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
48375,200,02/27/2011 00:00:00,Twe,2216,TWE,34.47342985,-9.59498965,none,0,LakeNyasa,Majengo,Iringa,11,4,Njombe,Matola,4,True,GeoData Consultants Ltd,VWC,Kidabu,False,2008,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
37862,500,11/03/2013 00:00:00,Isf,672,ISF,37.94002949,-4.12559468,Kinonga,0,Pangani,Mkonga Juu,Kilimanjaro,3,3,Same,Kisiwani,210,True,GeoData Consultants Ltd,Water authority,Mashangwi,True,2011,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
55012,500,01/16/2013 00:00:00,Sobodo,200,Kilolo Star,39.37077651,-9.94253166,Ruhoma Primary School,0,RuvumaSouthernCoast,Shuleni,Lindi,80,23,Lindi Rural,Rutamba,260,False,GeoData Consultants Ltd,VWC,Sobodo Borehole Scheme,False,2011,IndiaMarkII,IndiaMarkII,Handpump,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,MachineDbh,BoreHole,Groundwater,HandPump,HandPump,Functional
6696,50,03/16/2011 00:00:00,Private Individual,180,WU,38.36355454,-6.63610419,Kituo Cha Maziwa,0,WamiRuvu,Kudipera,Pwani,6,1,Bagamoyo,Chalinze,150,False,GeoData Consultants Ltd,WUA,Chalinze wate,True,2004,KSB,Submersible,Submersible,PrivateOperator,Commercial,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
16583,4000,02/20/2011 00:00:00,Cefa,1955,CEFA,35.89026429,-8.22439872,none,0,Rufiji,Mwanzala,Iringa,11,7,Kilolo,Boma la ng'ombe,100,True,GeoData Consultants Ltd,VWC,Bomala,True,2003,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
70238,25,10/03/2013 00:00:00,Ces(gmbh),710,DWE,37.42002692,-3.47684942,Kwa Lusina,0,Pangani,Reli B,Kilimanjaro,3,4,Moshi Rural,Kahe,50,True,GeoData Consultants Ltd,Water Board,Kirua kahe pumping water trust,True,2008,Submersible,Submersible,Submersible,WaterBoard,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,MachineDbh,BoreHole,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
52019,500,07/07/2011 00:00:00,European Union,1803,Accra,34.81457364,-9.03250291,Zahanati-Misssion,0,Rufiji,Sokoni,Iringa,11,4,Njombe,Mtwango,250,True,GeoData Consultants Ltd,WUG,Mtwango water supplied sche,True,2011,Gravity,Gravity,Gravity,WUG,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
